CorrSciName,FRS Common Name,FRSCode,IDlevel,Habit,ALTname_survey,
Lycodes vahlii,Vahl's eelpout,VEE,Species,DEMERSAL,,
Macroparalepis affine,Macroparalepis affine,MAA,Species,DEMERSAL,,
Macroramphosus gracilis,Snipefish,SFI,Species,PELAGIC,,
Macroramphosus scolopax,Longspine snipefish,LSS,Species,DEMERSAL,,
Macrourus berglax,Onion-eye grenadier,MBE,Species,DEMERSAL,,
Malacocephalus laevis,Softhead rat tail,MLA,Species,DEMERSAL,,
Maurolicus muelleri,Pearlside,PEA,Species,PELAGIC,,
Melanogrammus aeglefinus,Haddock,HAD,Species,DEMERSAL,,
Merlangius merlangus,Whiting,WHI,Species,DEMERSAL,,
Merlucciidae,Merlucciidae unidentified,MEU,Higher,DEMERSAL,,
Merluccius merluccius,Hake,HAK,Species,DEMERSAL,,
Microchirus variegatus,Thickback sole,TSO,Species,DEMERSAL,Microchirus,in LW
Micromesistius poutassou,Blue whiting,BWH,Species,PELAGIC,,
Microstomus kitt,Lemon sole,LSO,Species,DEMERSAL,,
Mola mola,Ocean sunfish,SUF,Species,PELAGIC,,
Molva dypterygia,Blue ling,BLI,Species,DEMERSAL,,
Molva macrophthlma,Spanish ling,SLI,Species,DEMERSAL,,
Molva molva,Ling,LIN,Species,DEMERSAL,,
Mora moro,Mora,MOR,Species,DEMERSAL,,
Mugil cephalus,Flathead (grey) mullet,GRM,Species,DEMERSAL,,
Mugilidae,Mullets unidentified,MUU,Higher,DEMERSAL,,
Mullus,Goatfish unidentified,GOA,Higher,DEMERSAL,,
Mullus barbatus,Red mullet,RMM,Species,DEMERSAL,,
Mullus surmuletus,Striped red mullet,RMU,Species,DEMERSAL,,
Mustelus,Smooth hound unidentified,SMU,Higher,DEMERSAL,,
Mustelus asterias,Starry smooth hound,SSH,Species,DEMERSAL,,
Mustelus mustelus,Smooth hound,SHO,Species,DEMERSAL,,
Myctophidae,Lanternfish unidentified,LAU,Higher,PELAGIC,,
Myctophum,Myctophid unidentified,MUN,Higher,PELAGIC,,
Myctophum punctatum,Spotted lanternfish,MYP,Species,DEMERSAL,,
Myliobatis aquila,Common eagle ray,EAR,Species,DEMERSAL,,
Myoxocephalus,Myoxocephalus unidentified,MYU,Higher,DEMERSAL,,
Myoxocephalus quadricornis,Four-horn sculpin,FSC,Species,DEMERSAL,,
Myoxocephalus scorpioides,Arctic sculpin,ARS,Species,DEMERSAL,,
Myoxocephalus scorpius,Bullrout,BRO,Species,DEMERSAL,,
Myxine glutinosa,Hagfish,HAG,Species,DEMERSAL,,
Nerophis lumbriciformis,Worm pipefish,WPI,Species,DEMERSAL,,
Nerophis ophidion,Straight-nosed pipefish,SNP,Species,DEMERSAL,,
Nezumia aequalis,Smooth rat tail,NAE,Species,DEMERSAL,,
Nezumia sclerorhynchus,Roughtip grenadier,RTG,Species,DEMERSAL,,
Notoleois rissoi,Lesser barracudina,LBA,Species,DEMERSAL,,
Notoscopelus kroeyeri,Lancet fish,LAF,Species,DEMERSAL,,
Ophidion barbatum,Snake blenny,OBA,Species,DEMERSAL,,
Osmerus eperlanus,Smelt,SME,Species,PELAGIC,,
Pagellus,Sea bream unidentified,SEB,Higher,DEMERSAL,,
Pagellus acarne,Spanish sea bream,SSB,Species,DEMERSAL,,
Pagellus bogaraveo,Red sea bream,RSB,Species,DEMERSAL,,
Pagellus erythrinus,Pandora,PAN,Species,DEMERSAL,,
Pagrus pagrus,Common seabream,COS,Species,DEMERSAL,,
Panturichthys mauritanicus,Mauritanian shortfaced eel,MAS,Species,DEMERSAL,,
Parablennius gattorugine,Tompot blenny,TBL,Species,DEMERSAL,,
Pegusa lascaris,Sand sole,SSO,Species,DEMERSAL,,
Percichthyidae,Perch unidentified,PEU,Higher,DEMERSAL,,
Petromyzon,Sea lamprey unidentified,SLU,Higher,DEMERSAL,,
Petromyzon marinus,Sea lamprey,SLA,Species,DEMERSAL,,
Petromyzontidae,Lamprey unidentified,LUN,Higher,DEMERSAL,,
Pholis gunnellus,Butterfish,BUT,Species,DEMERSAL,,
Phrynorhombus norvegicus,Norwegian topknot,NTO,Species,DEMERSAL,Zeugopterus norvegicus,added to LW
Phycis blennoides,Greater forkbeard,GFO,Species,DEMERSAL,,
Platichthys flesus,Flounder,FLO,Species,DEMERSAL,,
Pleuronectes platessa,Plaice,PLA,Species,DEMERSAL,,
Pollachius pollachius,Pollack,LYT,Species,DEMERSAL,,
Pollachius virens,Saithe,SAI,Species,DEMERSAL,,
Polymetme corythaeola,Rendezvous fish,POC,Species,DEMERSAL,,
Polyprion americanus,Wreckfish,WRE,Species,DEMERSAL,,
Pomatoschistus lozanoi,Lozano's goby,PLO,Species,DEMERSAL,,
Pomatoschistus microps,Common goby,COG,Species,DEMERSAL,Pomatoschistus,in LW
Pomatoschistus minutus,Sand goby,SGO,Species,DEMERSAL,,
Pomatoschistus norvegicus,Norway goby,NGO,Species,DEMERSAL,,
Pomatoschistus pictus,Painted goby,PGO,Species,DEMERSAL,,
Psetta maxima,Turbot,TUR,Species,DEMERSAL,Scophthalmus maximus,in LW
Pterycombus brama,Atlantic fanfish,AFF,Species,PELAGIC,,
Raja brachyura,Blond ray,BRA,Species,DEMERSAL,,
Raja clavata,Thornback ray,TRA,Species,DEMERSAL,,
Raja microocellata,Small eyed ray,SER,Species,DEMERSAL,,
Raja montagui,Spotted ray,SPY,Species,DEMERSAL,,
Raja undulata,Undulate ray,URA,Species,DEMERSAL,,
