Functional.group,ScientificName_WoRMS,IBTS.species,Code,Common.name,ICES.Statlant.name,ITIS_TSN,WoRMS_AphiaID,Max.L..cm.,a,b,N,Min.L..cm.,Life.span..years.,TL,DEMPEL,TL_Ecopath,max len demersal,max len,LSI demersal,LSI_eco,Trophic_guild,Habitat_1,Piscivore,Bentho-piscivore,Benthivore,Planktivore
Large demersal fish,Sebastes marinus,Sebastes marinus,REG,NORWAY HADDOCK,,166745,127253,50,0.0071,3.18,11,10.2,NA,4.2,DEM,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Triglops pingelii,Triglops pingeli,,Other,,167373,127207,20,0.0031,3.181,213,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whiting (adult),Merlangius merlangus,Merlangius merlangus,WHG,WHITING,Whiting,164758,126438,70,0.0042,3.1842,"15,783",5.5,16.8,4.94,DEM,4.347201353,70,70,0,0,Piscivore,Demersal,1,0,0,0
Other gadoids (large),Brosme brosme,Brosme brosme,USK,TUSK,,164740,126447,100,0.0051,3.189,7,NA,NA,4.45,DEM,4.571004765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue whiting,Micromesistius poutassou,Micromesistius poutassou,WHB,BLUE WHITING,Blue whiting(=Poutassou),164774,126439,50,0.0037,3.1933,459,NA,15.8,3.14,PEL,4.090852353,NA,50,NA,0,Planktivore,Mesopelagic,0,0,0,1
Thornback ray,Raja clavata,Raja clavata,THR,THORNBACK RAY (ROKER),,160901,105883,118,0.0032,3.194,960,10,13.7,3.76,DEM,4.523824294,100,100,1,1,Bentho-piscivore,Demersal,0,1,0,0
Small demersal fish,Petromyzon marinus,Petromyzon marinus,SLY,SEA LAMPREY,,159722,101174,120,8.00E-04,3.1956,25,31.5,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other rays,Raja undulata,Raja undulata,UNR,UNDULATE RAY,,160900,105891,101,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Other rays,Raja brachyura,Raja brachyura,,Other rays,,160880,367297,120,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Other rays,Dasyatis pastinaca,Dasyatis pastinaca,,Starry ray + others,,160959,105851,66,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Other rays,Leucoraja circularis,Leucoraja circularis,,Starry ray + others,,564128,105873,66,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Other rays,Leucoraja fullonica,Leucoraja fullonica,,Starry ray + others,,564134,105874,66,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Other rays,Leucoraja lentiginosa,Leucoraja lentiginosa,,Starry ray + others,,564140,271564,66,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Other rays,Raja,Raja,,Starry ray + others,,160846,105766,66,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Other rays,Rajidae,Rajidae,,Starry ray + others,,160845,105711,66,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Other rays,Rajiformes,Rajiformes,,Starry ray + others,,160806,10216,66,0.0023,3.2051,87,19,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Spotted ray,Raja montagui,Raja montagui,SDR,SPOTTED RAY,Spotted ray,160883,105887,90,0.0023,3.2051,87,19,13.7,3.19,DEM,4.523824294,100,100,1,1,Bentho-piscivore,Demersal,0,1,0,0
Small demersal fish,Etmopterus spinax,Etmopterus spinax,VBY,VELVET BELLY,,160670,105913,47,0.0019,3.212,78,11.2,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herring (adult),Clupea harengus,Clupea harengus,HER,HERRING,Atlantic herring,161722,126417,40,0.0047,3.212,2185,NA,9.8,3.79,PEL,3.468150235,NA,40,NA,0,Planktivore,Benthopelagic,0,0,0,1
Small demersal fish,Arnoglossus,Arnoglossus,,Small demersal fish,,172803,126109,NA,0.0047,3.218,Average over North Sea species in Arnoglossus,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Bothidae,Bothidae,,Other,,172714,125576,NA,0.0047,3.218,Average over North Sea species in Bothidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Syngnathus typhle,Syngnathus typhle,,Other,,166467,127393,26.2,1.00E-04,3.222,31,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gurnards,Chelidonichthys cuculus,Aspitrigla cuculus,GUR,RED GURNARD,Red gurnard,167049,127259,50,0.0045,3.2228,480,12,17.8,3.65,DEM,4.461899235,50,50,0,0,Benthivore,Demersal,0,0,1,0
unclassified,Acentronura,Acentronura,,Other,,166613,159441,NA,2.00E-04,3.2326,Average over North Sea species in Syngnathidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Syngnathidae,Syngnathidae,,Other,,166443,125606,NA,2.00E-04,3.2326,Average over North Sea species in Syngnathidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cod (adult),Gadus morhua,Gadus morhua,COD,COD,Atlantic cod,164712,126436,190,0.0039,3.2434,"10,199",4.5,15.2,4.35,DEM,4.819384,190,190,1,1,Piscivore,Demersal,1,0,0,0
Catfish (Wolf-fish),Anarhichas minor,Anarhichas minor,,Catfish (Wolf-fish),,171342,126759,125,0.0033,3.2491,NA,NA,26.2,3.24,DEM,4.287762824,125,125,1,1,Benthivore,Demersal,0,0,1,0
Catfish (Wolf-fish),Anarrhichthys ocellatus,Anarhichas ocellatus,,Catfish (Wolf-fish),,171338,279605,125,0.0033,3.2491,NA,NA,26.2,3.24,DEM,4.287762824,125,125,1,1,Benthivore,Demersal,0,0,1,0
Catfish (Wolf-fish),Anarhichas lupus,Anarhichas lupus,CAA,Catfish (Wolf-fish),Atlantic wolffish,171341,126758,125,0.0033,3.2491,58,32,26.2,3.24,DEM,4.287762824,125,125,1,1,Benthivore,Demersal,0,0,1,0
Gurnards,Eutrigla gurnardus,Eutrigla gurnardus,GUG,GREY GURNARD,Grey gurnard,167044,150637,50,0.0034,3.26,240,16.5,17.8,3.65,DEM,4.461899235,50,50,0,0,Benthivore,Demersal,0,0,1,0
Small demersal fish,Raniceps raninus,Raniceps raninus,LFB,LESSER FORKBEARD,,164777,126442,30.5,0.0062,3.2667,21,13.5,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
